車型,燃料,排氣量,最大馬力,平均油耗,新車價格,網址,圖片
4RUNNER,汽油,4000,"270 / 5,600 ",13.3,169.7,https://www.carnews.com/article/info/48292451-4b01-11e8-8ee2-42010af00004,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2019/09/20/draft/6845397.jpg&x=0&y=0&sw=0&sh=0&sl=W&fw=1050
ALTIS,汽油,1798,140/6400,15.6,69.8,https://www.toyota.com.tw/showroom/ALTIS/,https://hotaicdn.azureedge.net/toyotaweb/CMS_20200911104705JPD65M37.jpg
CAMRY,汽油,2494,181/6000,12.5,106.9,https://www.toyota.com.tw/showroom/CAMRY/,https://hotaicdn.azureedge.net/toyotaweb/CMS_2020092616414420232231.jpg
C-HR,汽油,1197,116/5200-5600,15,89.9,https://www.toyota.com.tw/showroom/C-HR/,https://hotaicdn.azureedge.net/toyotaweb/CMS_2021010815101353124344.jpg
corolla,汽油,1987,170/6600,16.2,84.9,https://www.toyota.com.tw/showroom/COROLLA_SPORT/,https://hotaicdn.azureedge.net/toyotaweb/CMS_2020092613484234556555.jpg
highlander,汽油,2500,241,15.1,192.8,https://www.7car.tw/articles/read/70930,https://www.7car.tw/uploads/article/930/70930/7car-202012031043-1.jpg
INNOVA,汽油,1998,133/5600,9.3,61,https://autos.yahoo.com.tw/new-cars/trim/toyota-innova-2016-2-.-0-e,https://autos.yahoo.com.tw/y/r/w1200/iw/MMT/car/bdc3ef892a49a2c1f14af441c5e4ccf6_1200.jpg
PREVIA,汽油,2362,170/6000,11,147,https://autos.yahoo.com.tw/new-cars/trim/toyota-previa-2020-2.4%E7%B6%93%E5%85%B8%E7%89%88?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAALcA0IA6rVdJJSlnAtO9yrqgguiP9fUXd13qu9j03AvfPsCM5bYJ-IoMxm3VW8QKpoolHzCr2MXbKDG93kWNy7iMoVz6FZxD6Rudn-Zh3OwkK9EN8Zpu53_wwpsrgSc61-IUiJM05CjL6xrukCW0EpDBs7kBaXf8JP8FRFVDGihY,https://autos.yahoo.com.tw/y/r/w1200/iw/MMT/car/a47849450b6785f439e7beabee6ce215_1200.jpg
PRIUS,HYBRID,1798,98/5200,26.7,114.9,https://www.toyota.com.tw/showroom/PRIUS/,https://hotaicdn.azureedge.net/toyotaweb/CMS_20200927141206E12BG7F8.jpg
RAV4,汽油,1987,173/6600,15.1,95.9,https://www.toyota.com.tw/showroom/RAV4/,https://hotaicdn.azureedge.net/toyotaweb/CMS_2020092717012314126307.jpg
SIENTA,汽油,1496,107/6000,16.4,64.9,https://www.toyota.com.tw/showroom/SIENTA/,https://hotaicdn.azureedge.net/toyotaweb/CMS_2020120411572407154528.jpg
tacoma,汽油,3001,236/5200,9.46,133.6,http://car2.tw/listings/toyota-tacoma/,http://car2.tw/wp-content/uploads/2015/09/2017-Toyota-Tacoma-TRD-Pro-02-798x466.jpg
TURNDRA,汽油,5663,381,15.5,174,https://www.chineseautoworld.com/2018/06/09/%E3%80%90%E8%A6%8F%E6%A0%BC%E7%B0%A1%E4%BB%8B%E3%80%91toyota-tundra/,https://img-s-msn-com.akamaized.net/tenant/amp/entityid/AAIG0wc.img?h=373&w=624&m=6&q=60&o=f&l=f
VIOS,汽油,1496,107/6000,17.5,55.3,https://www.toyota.com.tw/showroom/VIOS/,https://hotaicdn.azureedge.net/toyotaweb/CMS_202101271119240B341583.jpg
WISH,汽油,1987,146/6200,13,78.3,https://c.8891.com.tw/toyota/wish/Summary.html,https://autos.yahoo.com.tw/y/r/w644/iw/MMT/car/12142070847662.jpg
YARIS,汽油,1496,107/6000,16,68.5,https://autos.yahoo.com.tw/new-cars/trim/toyota-yaris-2021-1.5-s,https://autos.yahoo.com.tw/p/r/w1200/car-trim/January2021/1e5b114393c7072bcf3e6da5e8e4791d.jpeg
ZACE,汽油,1800,116/4800,9.2,55.9,https://auto.8891.com.tw/toyota/zace,https://lh3.googleusercontent.com/proxy/eTEL-OyaZkNjsV2aBFARW4hINc_N43JYLdEMVIs8yyQVBf742tS7wWv89ED2WHLlmfH7fhlhi_ChyHrnIFIyQEcckq--TFCi13I33wDgcRbk-UNIjScrOdKYUNH_0UCJA2oPb0UgvNHd7NEjbfFwyxwjdpSc46KOdQ2A7vGcaBJU4PgxYrGS0w
